"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","fazer","sandberg","hovioikeuden","axel","carl","suomen","sundwall","sai","sai","suomen","kaarle","palmén","helsingin","toimi","suomen","suomen","brummer","isänsä","kirkkoherran","nordström"
"2","luvun","isänsä","suomen","suomen","suomen","sundwall","historian","suomen","luvun","toimi","krohnin","tuli","toimi","lääketieteen","tuli","elfving","sai","aladin","kappalainen","merikanto"
"3","oopperan","luvun","ignatius","tuli","aarne","krohn","antiikin","toimi","bäck","elfving","suomalaisen","toimi","tuli","sievers","toimi","helsingin","einsteinin","aarnen","ahrenberg","suomalaisten"
"4","suomalaisen","turun","emma","fredrik","helsingin","johannes","sundwallin","aladin","hedbergin","gustaf","sai","uuden","suomen","vuoden","luvun","luvun","nordström","joutui","apulainen","achté"
"5","castrén","sai","irene","luvun","yliopiston","sai","suomen","rein","vuotta","sai","suomen","wichmann","kuului","opiskeli","osallistui","alma","vuoden","sai","myöhemmin","aminoff"
"6","alussa","suomen","turun","useita","toimi","julkaisi","tuli","myöhemmin","alussa","tuli","krohn","sai","nordström","frosterus","vuoden","söderhjelm","fysiikan","suomen","bäckin","tuli"
"7","arthur","aladin","liittopankin","professorin","bonsdorff","kutsuttiin","vuotta","willebrand","kirjoitti","luvun","kirjailija","helsingissä","katila","filosofian","jäsenenä","tuli","siirrettiin","tuli","saarijärven","suomalaisen"
"8","baletin","aikana","gustaf","granfelt","vuodesta","erityisesti","johannes","yliopiston","myi","eläkkeelle","yliopiston","rindell","willebrand","julkaisi","otti","yliopistossa","ylennettiin","syntyi","berndtsonin","hyvin"
"9","järjesti","osallistui","toimi","jäsenenä","turun","toimi","emma","filosofian","osti","adolf","professori","muutti","osallistui","vuotta","grotenfelt","professori","esitti","konstantin","apulaiseksi","oskar"
"10","lopulla","ilmestyi","vaasan","nordström","syntyi","helsingin","irene","kirjoitti","helsingissä","bredenberg","isänsä","osallistui","vuoteen","ajan","ahrenberg","teki","forssa","poika","määrättiin","puolisonsa"
"11","erik","sandbergin","helsingin","ahrenbergin","kokonaan","usein","tammisaaren","ylioppilaaksi","luvulla","helsingin","luvun","vuoden","vuotta","luvun","mukana","historian","toimi","jäi","vihittiin","samalla"
"12","dahlström","lapissa","jäsen","nybergh","aikaan","lähes","myöhemmin","luvun","johannes","jäi","kansanrunoudentutkimuksen","testamentin","myöhemmin","kuului","ajan","luvulla","yliopiston","pian","kirkkoherra","palasi"
"13","robert","myöhemmin","nimitettiin","stråhle","hyvin","seuran","ajan","vuodesta","työ","teki","lopulta","ruotsinkielisen","hurmerinta","elfving","ensimmäinen","turun","heikel","lahjoitti","papiksi","einsteinin"
"14","osa","kirjoitti","nybergh","willebrand","lehden","useita","helsingin","jäsenenä","katila","vuotiaana","hedbergin","suomen","edustajana","luvulla","hoiti","heikelin","suomen","eli","kirkon","einstein"
"15","edvard","jäi","liittopankki","söderhjelmin","puheenjohtajana","heikel","huolimatta","julkaisi","hengessä","lähes","wilhelm","åströmin","nordströmin","suhteellisuusteorian","venäjän","historia","tuli","dahlström","suomen","leidenissä"
"16","ahrenbergin","kuoli","kaksi","sai","aarnen","maan","aleksanterin","suomalaisen","berndtson","koulutuksen","rimpisuon","kaksi","bredenberg","einstein","uudelleen","nordströmin","aikana","suomessa","sai","emmy"
"17","suomen","syksyllä","kaupungin","vuotta","krohn","parhaiten","julkaisi","nuorempi","maalaus","ingman","alma","carl","lehtorina","ensimmäisenä","gösta","van","valmistui","tieteellisen","yhdessä","katila"
"18","ohella","vuoden","tällöin","historian","kielen","rein","yhä","siirtyi","liittyi","professori","aarne","syntyi","nystén","maisteriksi","august","tuolloin","helsingissä","forssan","usein","virkaansa"
"19","kirjoitti","uuden","julkaisi","myöhemmin","nimitettiin","pohjoismaiden","laaja","vuoteen","toimi","huomiota","ruotsalaisen","ernst","edusti","sai","katila","myöhemmin","määrättiin","sieversin","uutta","bredenberg"
"20","perusti","maataloudelliseen","grotenfelt","kuului","professoriksi","westman","teosta","perusti","siirtyi","alan","antti","jatkoi","kolme","tammisaaren","senaatin","ensimmäinen","hurmerinta","sairaalan","arkkitehti","meijeriopin"
